year,avg_temp,Riyadh avg temp_10_years,,Riyadh avg temp_15_years,,Riyadh avg temp_5_years,,Riyadh 15-year moving avg temp,Global 15-year moving avg temp,year,avg_temp,global avg temp_10_years,,global avg temp_15_years,,global avg temp_5_years,,,,temp
1850,24.34,#N/A,,#N/A,,#N/A,,#N/A,#N/A,1850,7.9,#N/A,,#N/A,,#N/A,,,,5
1851,25.03,#N/A,,#N/A,,#N/A,,#N/A,#N/A,1851,8.18,#N/A,,#N/A,,#N/A,,,,10
1852,24.85,#N/A,,#N/A,,#N/A,,#N/A,#N/A,1852,8.1,#N/A,,#N/A,,#N/A,,,,20
1853,24.93,#N/A,,#N/A,,#N/A,,#N/A,#N/A,1853,8.04,#N/A,,#N/A,,#N/A,,,,30
1854,24.72,#N/A,,#N/A,,24.774,,#N/A,#N/A,1854,8.21,#N/A,,#N/A,,8.086,,,,
1855,24.92,#N/A,,#N/A,,24.89,,#N/A,#N/A,1855,8.11,#N/A,,#N/A,,8.128,,,,
1856,24.57,#N/A,,#N/A,,24.798,,#N/A,#N/A,1856,8,#N/A,,#N/A,,8.092,,,,
1857,24.26,#N/A,,#N/A,,24.68,,#N/A,#N/A,1857,7.76,#N/A,,#N/A,,8.024,,,,
1858,25.01,#N/A,,#N/A,,24.696,,#N/A,#N/A,1858,8.1,#N/A,,#N/A,,8.036,,,,
1859,24.95,24.758,,#N/A,,24.742,,#N/A,#N/A,1859,8.25,8.065,,#N/A,,8.044,,,,
1860,24.94,24.818,,#N/A,,24.746,,#N/A,#N/A,1860,7.96,8.071,,#N/A,,8.014,,,,
1861,24.13,24.728,,#N/A,,24.658,,#N/A,#N/A,1861,7.85,8.038,,#N/A,,7.984,,,,
1862,23.77,24.62,,#N/A,,24.56,,#N/A,#N/A,1862,7.56,7.984,,#N/A,,7.944,,,,
1863,24.28,24.555,,#N/A,,24.414,,#N/A,#N/A,1863,8.11,7.991,,#N/A,,7.946,,,,
1864,25.03,24.586,,24.64866667,,24.43,,24.64866667,8.007333333,1864,7.98,7.968,,8.007333333,,7.892,,,,
1865,25.23,24.617,,24.708,,24.488,,24.708,8.026,1865,8.18,7.975,,8.026,,7.936,,,,
1866,24.92,24.652,,24.70066667,,24.646,,24.70066667,8.033333333,1866,8.29,8.004,,8.033333333,,8.024,,,,
1867,25.22,24.748,,24.72533333,,24.936,,24.72533333,8.056,1867,8.44,8.072,,8.056,,8.2,,,,
1868,25,24.747,,24.73,,25.08,,24.73,8.07,1868,8.25,8.087,,8.07,,8.228,,,,
1869,25.3,24.782,,24.76866667,,25.134,,24.76866667,8.084666667,1869,8.43,8.105,,8.084666667,,8.318,,,,
1870,25.02,24.79,,24.77533333,,25.092,,24.77533333,8.090666667,1870,8.2,8.129,,8.090666667,,8.322,,,,
1871,24.73,24.85,,24.786,,25.054,,24.786,8.098666667,1871,8.12,8.156,,8.098666667,,8.288,,,,
1872,24.87,24.96,,24.82666667,,24.984,,24.82666667,8.127333333,1872,8.19,8.219,,8.127333333,,8.238,,,,
1873,25.24,25.056,,24.842,,25.032,,24.842,8.144,1873,8.35,8.243,,8.144,,8.258,,,,
1874,24.98,25.051,,24.844,,24.968,,24.844,8.156,1874,8.43,8.288,,8.156,,8.258,,,,
1875,24.43,24.971,,24.81,,24.85,,24.81,8.149333333,1875,7.86,8.256,,8.149333333,,8.19,,,,
1876,24.89,24.968,,24.86066667,,24.882,,24.86066667,8.164666667,1876,8.08,8.235,,8.164666667,,8.182,,,,
1877,25.47,24.993,,24.974,,25.002,,24.974,8.23,1877,8.54,8.245,,8.23,,8.252,,,,
1878,25.51,25.044,,25.056,,25.056,,25.056,8.278,1878,8.83,8.303,,8.278,,8.348,,,,
1879,25.24,25.038,,25.07,,25.108,,25.07,8.290666667,1879,8.17,8.277,,8.290666667,,8.296,,,,
1880,24.8,25.016,,25.04133333,,25.182,,25.04133333,8.286666667,1880,8.12,8.269,,8.286666667,,8.348,,,,
1881,25.63,25.106,,25.08866667,,25.33,,25.08866667,8.285333333,1881,8.27,8.284,,8.285333333,,8.386,,,,
1882,24.66,25.085,,25.05133333,,25.168,,25.05133333,8.264666667,1882,8.13,8.278,,8.264666667,,8.304,,,,
1883,25.19,25.08,,25.064,,25.104,,25.064,8.246666667,1883,7.98,8.241,,8.246666667,,8.134,,,,
1884,24.8,25.062,,25.03066667,,25.016,,25.03066667,8.202666667,1884,7.77,8.175,,8.202666667,,8.054,,,,
1885,24.98,25.117,,25.028,,25.052,,25.028,8.184,1885,7.92,8.181,,8.184,,8.014,,,,
1886,24.98,25.126,,25.04466667,,24.922,,25.04466667,8.172666667,1886,7.95,8.168,,8.172666667,,7.95,,,,
1887,24.81,25.06,,25.04066667,,24.952,,25.04066667,8.154,1887,7.91,8.105,,8.154,,7.906,,,,
1888,25.13,25.022,,25.03333333,,24.94,,25.03333333,8.136666667,1888,8.09,8.031,,8.136666667,,7.928,,,,
1889,25.52,25.05,,25.06933333,,25.084,,25.06933333,8.129333333,1889,8.32,8.046,,8.129333333,,8.038,,,,
1890,25.07,25.077,,25.112,,25.102,,25.112,8.136666667,1890,7.97,8.031,,8.136666667,,8.048,,,,
1891,25.39,25.053,,25.14533333,,25.184,,25.14533333,8.132666667,1891,8.02,8.006,,8.132666667,,8.062,,,,
1892,25.22,25.109,,25.12866667,,25.266,,25.12866667,8.101333333,1892,8.07,8,,8.101333333,,8.094,,,,
1893,25.19,25.109,,25.10733333,,25.278,,25.10733333,8.05,1893,8.06,8.008,,8.05,,8.088,,,,
1894,24.66,25.095,,25.06866667,,25.106,,25.06866667,8.049333333,1894,8.16,8.047,,8.049333333,,8.056,,,,
1895,24.69,25.066,,25.06133333,,25.03,,25.06133333,8.051333333,1895,8.15,8.07,,8.051333333,,8.092,,,,
1896,24.88,25.056,,25.01133333,,24.928,,25.01133333,8.047333333,1896,8.21,8.096,,8.047333333,,8.13,,,,
1897,24.86,25.061,,25.02466667,,24.856,,25.02466667,8.058,1897,8.29,8.134,,8.058,,8.174,,,,
1898,24.88,25.036,,25.004,,24.794,,25.004,8.071333333,1898,8.18,8.143,,8.071333333,,8.198,,,,
1899,25.12,24.996,,25.02533333,,24.886,,25.02533333,8.113333333,1899,8.4,8.151,,8.113333333,,8.246,,,,
1900,25.29,25.018,,25.046,,25.006,,25.046,8.152,1900,8.5,8.204,,8.152,,8.316,,,,
1901,25.55,25.034,,25.084,,25.14,,25.084,8.191333333,1901,8.54,8.256,,8.191333333,,8.382,,,,
1902,25.25,25.037,,25.11333333,,25.218,,25.11333333,8.217333333,1902,8.3,8.279,,8.217333333,,8.384,,,,
1903,24.64,24.982,,25.08066667,,25.17,,25.08066667,8.226,1903,8.22,8.295,,8.226,,8.392,,,,
1904,25.07,25.023,,25.05066667,,25.16,,25.05066667,8.210666667,1904,8.09,8.288,,8.210666667,,8.33,,,,
1905,24.87,25.041,,25.03733333,,25.076,,25.03733333,8.228,1905,8.23,8.296,,8.228,,8.276,,,,
1906,24.85,25.038,,25.00133333,,24.936,,25.00133333,8.252,1906,8.38,8.313,,8.252,,8.244,,,,
1907,24.44,24.996,,24.94933333,,24.774,,24.94933333,8.244,1907,7.95,8.279,,8.244,,8.174,,,,
1908,24.95,25.003,,24.93333333,,24.836,,24.93333333,8.252666667,1908,8.19,8.28,,8.252666667,,8.168,,,,
1909,25.57,25.048,,24.994,,24.936,,24.994,8.254,1909,8.18,8.258,,8.254,,8.186,,,,
1910,24.75,24.994,,24.998,,24.912,,24.998,8.258666667,1910,8.22,8.23,,8.258666667,,8.184,,,,
1911,24.24,24.863,,24.95533333,,24.79,,24.95533333,8.256666667,1911,8.18,8.194,,8.256666667,,8.144,,,,
1912,24.96,24.834,,24.962,,24.894,,24.962,8.248666667,1912,8.17,8.181,,8.248666667,,8.188,,,,
1913,24.63,24.833,,24.94533333,,24.83,,24.94533333,8.256666667,1913,8.3,8.189,,8.256666667,,8.21,,,,
1914,24.94,24.82,,24.93333333,,24.704,,24.93333333,8.269333333,1914,8.59,8.239,,8.269333333,,8.292,,,,
1915,25.38,24.871,,24.93933333,,24.83,,24.93933333,8.275333333,1915,8.59,8.275,,8.275333333,,8.366,,,,
1916,24.85,24.871,,24.89266667,,24.952,,24.89266667,8.254666667,1916,8.23,8.26,,8.254666667,,8.376,,,,
1917,25.03,24.93,,24.878,,24.966,,24.878,8.236,1917,8.02,8.267,,8.236,,8.346,,,,
1918,24.66,24.901,,24.87933333,,24.972,,24.87933333,8.23,1918,8.13,8.261,,8.23,,8.312,,,,
1919,25.39,24.883,,24.90066667,,25.062,,24.90066667,8.249333333,1919,8.38,8.281,,8.249333333,,8.27,,,,
1920,24.94,24.902,,24.90533333,,24.974,,24.90533333,8.258,1920,8.36,8.295,,8.258,,8.224,,,,
1921,24.84,24.962,,24.90466667,,24.972,,24.90466667,8.270666667,1921,8.57,8.334,,8.270666667,,8.292,,,,
1922,25.35,25.001,,24.96533333,,25.036,,24.96533333,8.301333333,1922,8.41,8.358,,8.301333333,,8.37,,,,
1923,25.1,25.048,,24.97533333,,25.124,,24.97533333,8.316666667,1923,8.42,8.37,,8.316666667,,8.428,,,,
1924,25.69,25.123,,24.98333333,,25.184,,24.98333333,8.338666667,1924,8.51,8.362,,8.338666667,,8.454,,,,
1925,25,25.085,,25,,25.196,,25,8.359333333,1925,8.53,8.356,,8.359333333,,8.488,,,,
1926,25.19,25.119,,25.06333333,,25.266,,25.06333333,8.396,1926,8.73,8.406,,8.396,,8.52,,,,
1927,25.29,25.145,,25.08533333,,25.254,,25.08533333,8.419333333,1927,8.52,8.456,,8.419333333,,8.542,,,,
1928,25.39,25.218,,25.136,,25.312,,25.136,8.441333333,1928,8.63,8.506,,8.441333333,,8.584,,,,
1929,25.36,25.215,,25.164,,25.246,,25.164,8.418,1929,8.24,8.492,,8.418,,8.53,,,,
1930,25.39,25.26,,25.16466667,,25.324,,25.16466667,8.420666667,1930,8.63,8.519,,8.420666667,,8.55,,,,
1931,25.38,25.314,,25.2,,25.362,,25.2,8.453333333,1931,8.72,8.534,,8.453333333,,8.548,,,,
1932,24.96,25.275,,25.19533333,,25.296,,25.19533333,8.499333333,1932,8.71,8.564,,8.499333333,,8.586,,,,
1933,24.67,25.232,,25.196,,25.152,,25.196,8.513333333,1933,8.34,8.556,,8.513333333,,8.528,,,,
1934,24.97,25.16,,25.168,,25.074,,25.168,8.53,1934,8.63,8.568,,8.53,,8.606,,,,
1935,25.61,25.221,,25.21266667,,25.118,,25.21266667,8.540666667,1935,8.52,8.567,,8.540666667,,8.584,,,,
1936,25.15,25.217,,25.23333333,,25.072,,25.23333333,8.539333333,1936,8.55,8.549,,8.539333333,,8.55,,,,
1937,25.08,25.196,,25.21533333,,25.096,,25.21533333,8.558666667,1937,8.7,8.567,,8.558666667,,8.548,,,,
1938,25.11,25.168,,25.216,,25.184,,25.216,8.588,1938,8.86,8.59,,8.588,,8.652,,,,
1939,25.16,25.148,,25.18066667,,25.222,,25.18066667,8.604666667,1939,8.76,8.642,,8.604666667,,8.678,,,,
1940,25.51,25.16,,25.21466667,,25.202,,25.21466667,8.62,1940,8.76,8.655,,8.62,,8.726,,,,
1941,25.37,25.159,,25.22666667,,25.246,,25.22666667,8.622666667,1941,8.77,8.66,,8.622666667,,8.77,,,,
1942,25.49,25.212,,25.24,,25.328,,25.24,8.636666667,1942,8.73,8.662,,8.636666667,,8.776,,,,
1943,24.96,25.241,,25.21133333,,25.298,,25.21133333,8.645333333,1943,8.76,8.704,,8.645333333,,8.756,,,,
1944,25.6,25.304,,25.22733333,,25.386,,25.22733333,8.686,1944,8.85,8.726,,8.686,,8.774,,,,
1945,25.3,25.273,,25.22133333,,25.344,,25.22133333,8.682666667,1945,8.58,8.732,,8.682666667,,8.738,,,,
1946,25.49,25.307,,25.22866667,,25.368,,25.22866667,8.68,1946,8.68,8.745,,8.68,,8.72,,,,
1947,26,25.399,,25.298,,25.47,,25.298,8.686,1947,8.8,8.755,,8.686,,8.734,,,,
1948,24.85,25.373,,25.31,,25.448,,25.31,8.713333333,1948,8.75,8.744,,8.713333333,,8.732,,,,
1949,24.82,25.339,,25.3,,25.292,,25.3,8.710666667,1949,8.59,8.727,,8.710666667,,8.68,,,,
1950,24.98,25.286,,25.258,,25.228,,25.258,8.700666667,1950,8.37,8.688,,8.700666667,,8.638,,,,
1951,26.1,25.359,,25.32133333,,25.35,,25.32133333,8.706,1951,8.63,8.674,,8.706,,8.628,,,,
1952,25.72,25.382,,25.364,,25.294,,25.364,8.702,1952,8.64,8.665,,8.702,,8.596,,,,
1953,25.51,25.437,,25.39066667,,25.426,,25.39066667,8.702666667,1953,8.87,8.676,,8.702666667,,8.62,,,,
1954,25.8,25.457,,25.43333333,,25.622,,25.43333333,8.689333333,1954,8.56,8.647,,8.689333333,,8.614,,,,
1955,25.33,25.46,,25.42133333,,25.692,,25.42133333,8.680666667,1955,8.63,8.652,,8.680666667,,8.666,,,,
1956,25.02,25.413,,25.398,,25.476,,25.398,8.648,1956,8.28,8.612,,8.648,,8.596,,,,
1957,24.69,25.282,,25.34466667,,25.27,,25.34466667,8.648,1957,8.73,8.605,,8.648,,8.614,,,,
1958,25.64,25.361,,25.39,,25.296,,25.39,8.648666667,1958,8.77,8.607,,8.648666667,,8.594,,,,
1959,24.14,25.293,,25.29266667,,24.964,,25.29266667,8.640666667,1959,8.73,8.621,,8.640666667,,8.628,,,,
1960,25.67,25.362,,25.31733333,,25.032,,25.31733333,8.640666667,1960,8.58,8.642,,8.640666667,,8.618,,,,
1961,25.12,25.264,,25.29266667,,25.052,,25.29266667,8.648666667,1961,8.8,8.659,,8.648666667,,8.722,,,,
1962,26.1,25.302,,25.29933333,,25.334,,25.29933333,8.645333333,1962,8.75,8.67,,8.645333333,,8.726,,,,
1963,25.54,25.305,,25.34533333,,25.314,,25.34533333,8.652666667,1963,8.86,8.669,,8.652666667,,8.744,,,,
1964,25.14,25.239,,25.36666667,,25.514,,25.36666667,8.640666667,1964,8.41,8.654,,8.640666667,,8.68,,,,
1965,25.59,25.265,,25.40733333,,25.498,,25.40733333,8.651333333,1965,8.53,8.644,,8.651333333,,8.67,,,,
1966,26.16,25.379,,25.41133333,,25.706,,25.41133333,8.649333333,1966,8.6,8.676,,8.649333333,,8.63,,,,
1967,24.87,25.397,,25.35466667,,25.46,,25.35466667,8.653333333,1967,8.7,8.673,,8.653333333,,8.62,,,,
1968,25.21,25.354,,25.33466667,,25.394,,25.33466667,8.63,1968,8.52,8.648,,8.63,,8.552,,,,
1969,26.05,25.545,,25.35133333,,25.576,,25.35133333,8.632666667,1969,8.6,8.635,,8.632666667,,8.59,,,,
1970,25.84,25.562,,25.38533333,,25.626,,25.38533333,8.637333333,1970,8.7,8.647,,8.637333333,,8.624,,,,
1971,24.93,25.543,,25.37933333,,25.38,,25.37933333,8.658666667,1971,8.6,8.627,,8.658666667,,8.624,,,,
1972,24.74,25.407,,25.38266667,,25.354,,25.38266667,8.643333333,1972,8.5,8.602,,8.643333333,,8.584,,,,
1973,25.6,25.413,,25.38,,25.432,,25.38,8.655333333,1973,8.95,8.611,,8.655333333,,8.67,,,,
1974,25.4,25.439,,25.464,,25.302,,25.464,8.638,1974,8.47,8.617,,8.638,,8.644,,,,
1975,25.04,25.384,,25.422,,25.142,,25.422,8.648666667,1975,8.74,8.638,,8.648666667,,8.652,,,,
1976,24.97,25.265,,25.412,,25.15,,25.412,8.618666667,1976,8.35,8.613,,8.618666667,,8.602,,,,
1977,25.99,25.377,,25.40466667,,25.4,,25.40466667,8.625333333,1977,8.85,8.628,,8.625333333,,8.672,,,,
1978,25.95,25.451,,25.432,,25.47,,25.432,8.614,1978,8.69,8.645,,8.614,,8.62,,,,
1979,26.2,25.466,,25.50266667,,25.63,,25.50266667,8.635333333,1979,8.73,8.658,,8.635333333,,8.672,,,,
1980,25.83,25.465,,25.51866667,,25.788,,25.51866667,8.665333333,1980,8.98,8.686,,8.665333333,,8.72,,,,
1981,25.95,25.567,,25.50466667,,25.984,,25.50466667,8.703333333,1981,9.17,8.743,,8.703333333,,8.884,,,,
1982,24.62,25.555,,25.488,,25.71,,25.488,8.699333333,1982,8.64,8.757,,8.699333333,,8.842,,,,
1983,24.85,25.48,,25.464,,25.49,,25.464,8.733333333,1983,9.03,8.765,,8.733333333,,8.91,,,,
1984,25.05,25.445,,25.39733333,,25.26,,25.39733333,8.739333333,1984,8.69,8.787,,8.739333333,,8.902,,,,
1985,25.3,25.471,,25.36133333,,25.154,,25.36133333,8.736666667,1985,8.66,8.779,,8.736666667,,8.838,,,,
1986,25.36,25.51,,25.39,,25.036,,25.39,8.752,1986,8.83,8.827,,8.752,,8.77,,,,
1987,26.37,25.548,,25.49866667,,25.386,,25.49866667,8.784666667,1987,8.99,8.841,,8.784666667,,8.84,,,,
1988,25.99,25.552,,25.52466667,,25.614,,25.52466667,8.801333333,1988,9.2,8.892,,8.801333333,,8.874,,,,
1989,25.05,25.437,,25.50133333,,25.614,,25.50133333,8.831333333,1989,8.92,8.911,,8.831333333,,8.92,,,,
1990,25.7,25.424,,25.54533333,,25.694,,25.54533333,8.864,1990,9.23,8.936,,8.864,,9.034,,,,
1991,25.43,25.372,,25.576,,25.708,,25.576,8.919333333,1991,9.18,8.937,,8.919333333,,9.104,,,,
1992,24.37,25.347,,25.468,,25.308,,25.468,8.918666667,1992,8.84,8.957,,8.918666667,,9.074,,,,
1993,25.42,25.404,,25.43266667,,25.194,,25.43266667,8.930666667,1993,8.87,8.941,,8.930666667,,9.008,,,,
1994,26.08,25.507,,25.42466667,,25.4,,25.42466667,8.951333333,1994,9.04,8.976,,8.951333333,,9.032,,,,
1995,25.64,25.541,,25.412,,25.388,,25.412,8.976,1995,9.35,9.045,,8.976,,9.056,,,,
1996,26.28,25.633,,25.434,,25.558,,25.434,8.967333333,1996,9.04,9.066,,8.967333333,,9.028,,,,
1997,25.49,25.545,,25.492,,25.782,,25.492,9.004666667,1997,9.2,9.087,,9.004666667,,9.1,,,,
1998,26.73,25.619,,25.61733333,,26.044,,25.61733333,9.037333333,1998,9.52,9.119,,9.037333333,,9.23,,,,
1999,26.92,25.806,,25.742,,26.212,,25.742,9.077333333,1999,9.29,9.156,,9.077333333,,9.28,,,,
2000,26.55,25.891,,25.82533333,,26.394,,25.82533333,9.113333333,2000,9.2,9.153,,9.113333333,,9.25,,,,
2001,26.67,26.015,,25.91266667,,26.472,,25.91266667,9.152,2001,9.41,9.176,,9.152,,9.324,,,,
2002,26.44,26.222,,25.91733333,,26.662,,25.91733333,9.190666667,2002,9.57,9.249,,9.190666667,,9.398,,,,
2003,26.62,26.342,,25.95933333,,26.64,,25.95933333,9.232666667,2003,9.83,9.345,,9.232666667,,9.46,,,,
2004,26.2,26.354,,26.036,,26.496,,26.036,9.293333333,2004,9.83,9.424,,9.293333333,,9.568,,,,
2005,26.27,26.417,,26.074,,26.44,,26.074,9.333333333,2005,9.83,9.472,,9.333333333,,9.694,,,,
2006,26.24,26.413,,26.128,,26.354,,26.128,9.376666667,2006,9.83,9.551,,9.376666667,,9.778,,,,
2007,26.49,26.513,,26.26933333,,26.364,,26.26933333,9.442666667,2007,9.83,9.614,,9.442666667,,9.83,,,,
2008,26.21,26.461,,26.322,,26.282,,26.322,9.506666667,2008,9.83,9.645,,9.506666667,,9.83,,,,
2009,26.71,26.44,,26.364,,26.384,,26.364,9.559333333,2009,9.83,9.699,,9.559333333,,9.83,,,,
2010,27.37,26.522,,26.47933333,,26.604,,26.47933333,9.591333333,2010,9.83,9.762,,9.591333333,,9.83,,,,
2011,26.4,26.495,,26.48733333,,26.636,,26.48733333,9.644,2011,9.83,9.804,,9.644,,9.83,,,,
2012,26.83,26.534,,26.57666667,,26.704,,26.57666667,9.686,2012,9.83,9.83,,9.686,,9.83,,,,
2013,27.78,26.65,,26.64666667,,27.018,,26.64666667,9.706666667,2013,9.83,9.83,,9.706666667,,9.83,,,,
,,,,,,,,,9.742666667,2014,9.83,9.83,,9.742666667,,9.83,,,,
,,,,,,,,,9.784666667,2015,9.83,9.83,,9.784666667,,9.83,,,,